Portal,Módulo,Título,URL
Documentos Eletrônicos,Documentos Eletronicos,Baixa automática de NF-es da SEFAZ (Distribuição de DF-es),https://documentacao.senior.com.br/documentoseletronicos/5.8.16/documentos-eletronicos/nfe/baixa-automatica-nf-e.htm
Documentos Eletrônicos,Documentos Eletronicos,Documentos eletrônicos,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/documentos-eletronicos/documentos-eletronicos-capa.htm
Documentos Eletrônicos,Documentos Eletronicos,NF-e,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/documentos-eletronicos/nfe/nfe-conceito.htm
Documentos Eletrônicos,Documentos Eletronicos,NFS-e,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/documentos-eletronicos/nfse/nfse-conceito.htm
Documentos Eletrônicos,Documentos Eletronicos,Recebimento de NFS-e,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/documentos-eletronicos/nfse/recebimento-nfse-conceito.htm
Documentos Eletrônicos,Documentos Eletronicos,Roteiro para configuração do OAuth2  – Microsoft,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/documentos-eletronicos/protocolo-microsoft.htm
Documentos Eletrônicos,Documentos Eletronicos,Roteiro para configuração do OAuth2 - Gmail,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/documentos-eletronicos/protocolo-gmail.htm
Documentos Eletrônicos,Guia Informativo,Ferramentas e verificações auxiliares,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/guia-informativo/ferramentas-e-verificacoes-auxiliares-capa.htm
Documentos Eletrônicos,Home,Configurações,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/home/home-configuracoes.htm
Documentos Eletrônicos,Home,Guia informativo,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/home/home-guia-informativo.htm
Documentos Eletrônicos,Home,Impressão,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/home/home-impressao.htm
Documentos Eletrônicos,Home,Integrações,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/home/home-integracoes.htm
Documentos Eletrônicos,Home,Manual de instalação,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/home/home-manual-instalacao.htm
Documentos Eletrônicos,Home.Htm,Manual do usuário - eDocs,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/home.htm
Documentos Eletrônicos,Horario Verao,Configurações de fuso horário e horário de verão,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/horario-verao/configuracoes.htm
Documentos Eletrônicos,Html Ajuda,Acessos,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/html_ajuda/controleacesso.htm
Documentos Eletrônicos,Html Ajuda,Adicionando link para eDocs na senior X Platform,https://documentacao.senior.com.br/documentoseletronicos/5.8.16/html_ajuda/documentacaoprocesso/adicionar-modulo-edocs-g7.htm
